"DAY_OF_MONTH","DAY_OF_WEEK","OP_CARRIER_AIRLINE_ID","OP_CARRIER","OP_CARRIER_FL_NUM","ORIGIN_AIRPORT_ID","DEST_AIRPORT_ID","DEP_DEL15","ARR_DEL15","CANCELLED","DIVERTED","DISTANCE"
"23195",2,4,19393,15,572,14100,13204,1,"0",0,0,861
"478157",25,6,20409,4,232,12954,14869,1,"1",0,0,588
"528149",28,2,20398,10,4155,11298,13198,1,"0",0,0,460
"240504",13,1,20378,16,5969,11298,11481,1,"0",0,0,685
"582603",31,5,20378,16,5752,11298,10279,1,"0",0,0,312
"499405",27,1,20398,10,3530,13930,13076,2,"1",0,0,215
"202526",11,6,20378,16,6107,12266,14685,1,"0",0,0,851
"251105",13,1,19790,5,2905,11193,14771,2,"0",0,0,2036
"123177",7,2,19790,5,2341,12478,10397,1,"0",0,0,760
"332232",18,6,19805,2,1866,14100,10397,2,"0",0,0,666
"348549",19,7,20304,13,3130,13930,11146,1,"0",0,0,416
"254672",14,2,19790,5,1674,14869,14057,1,"0",0,0,630
"264875",14,2,19805,2,2486,15304,14100,1,"0",0,0,920
"104421",6,1,20397,12,5454,11278,12323,1,"0",0,0,319
"94855",5,7,19805,2,2360,13871,11298,1,"0",0,0,583
"526357",28,2,19393,15,1231,12953,10397,1,"0",0,0,762
"423200",23,4,20409,4,1281,10721,14524,1,"0",0,0,474
"507049",27,1,20452,17,6004,12478,11066,1,"0",0,0,483
"419665",22,3,20397,12,5516,11057,12264,1,"0",0,0,322
"130254",7,2,19805,2,131,11057,12889,1,"0",0,0,1916
"470892",25,6,19805,2,1456,11298,10721,1,"0",0,0,1562
"48167",3,5,19977,14,1850,12889,11618,1,"0",0,0,2227
"594646",31,5,20452,17,3630,12264,14122,1,"0",0,0,182
"294221",16,4,20452,17,4375,13495,11278,1,"1",0,0,969
"456058",24,5,20366,6,4103,13930,14685,1,"0",0,0,773
"536163",28,2,19805,2,1635,11057,14027,1,"0",0,0,590
"58895",3,5,20363,1,4778,13487,14122,2,"0",0,0,726
"70954",4,6,19393,15,5997,13204,14843,2,"1",0,0,1189
"574708",30,4,19393,15,1843,13871,12889,1,"0",0,0,1099
"100912",6,1,20304,13,3710,14683,11433,2,"0",0,0,1214
"380940",20,1,19790,5,2200,10721,14492,1,"0",0,0,612
"556283",29,3,19977,14,2292,12953,11292,1,"0",0,0,1620
"214961",12,7,19790,5,976,10397,12266,2,"1",0,0,689
